Number of Population from Registration by Age Group Region and Province: 2012-2022,,,,,,,,,,,,,
Unit: person,,,,,,,,,,,,,
,,,,,,,,,,,,,
Region,Province,Age group,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Central Region,Pathum Thani Province,0 - 4,"63,446","63,219","63,155","62,830","61,662","59,799","58,572","56,963","55,514","53,262","53,333"
Central Region,Pathum Thani Province,5-Sep,"66,041","66,925","67,071","66,954","66,903","67,499","67,336","66,958","66,153","64,473","67,214"
Central Region,Pathum Thani Province,Oct-14,"64,202","64,076","65,225","65,850","67,470","68,779","69,440","69,494","69,096","68,800","69,772"
Central Region,Pathum Thani Province,15  -  19,"76,507","76,859","76,131","74,927","72,098","70,481","69,859","70,494","70,254","70,889","72,069"
Central Region,Pathum Thani Province,20  -  24,"71,055","73,867","76,331","78,764","81,227","82,150","82,501","81,916","80,794","77,490","74,551"
Central Region,Pathum Thani Province,25  -  29,"69,486","68,110","68,345","69,246","70,859","74,205","77,072","80,321","84,225","88,048","90,865"
Central Region,Pathum Thani Province,30  -  34,"91,463","89,996","87,711","85,393","83,172","80,596","79,240","79,473","80,760","83,402","88,188"
Central Region,Pathum Thani Province,35  -  39,"97,945","98,973","99,835","100,882","100,540","99,567","98,412","96,446","94,566","92,629","90,904"
Central Region,Pathum Thani Province,40  -  44,"101,509","100,135","100,756","100,177","100,102","100,479","101,643","102,867","104,453","104,710","105,317"
Central Region,Pathum Thani Province,45  -  49,"90,308","94,319","96,304","98,119","100,355","101,595","100,485","100,899","100,477","100,589","101,845"
Central Region,Pathum Thani Province,50  -  54,"70,866","74,797","79,281","83,099","87,253","90,040","93,915","95,648","97,248","99,354","101,088"
Central Region,Pathum Thani Province,55  -  59,"53,787","53,451","56,818","61,896","65,753","70,335","74,449","78,572","82,257","85,837","88,755"
Central Region,Pathum Thani Province,60  -  64,"38,689","42,067","44,680","46,276","48,285","50,845","53,440","56,793","61,764","65,276","69,951"
Central Region,Pathum Thani Province,65  -  69,"24,137","27,071","29,679","32,440","35,215","37,862","40,280","42,873","44,423","46,226","48,991"
Central Region,Pathum Thani Province,70  -  74,"18,766","19,219","19,832","20,746","21,502","23,112","24,954","27,346","29,893","32,186","34,918"
Central Region,Pathum Thani Province,75  -  79,"12,510","14,008","14,708","15,095","15,836","16,142","16,539","17,170","18,032","18,604","20,222"
Central Region,Pathum Thani Province,80  -  84,"6,787","7,755","8,324","8,852","9,646","10,264","10,997","11,655","12,018","12,369","12,625"
Central Region,Pathum Thani Province,85  -  89,"3,022","3,690","3,936","4,180","4,425","4,779","5,261","5,544","5,954","6,456","7,007"
Central Region,Pathum Thani Province,90  -  94,"1,055","1,320","1,412","1,527","1,667","1,844","1,984","2,118","2,303","2,415","2,622"
Central Region,Pathum Thani Province,95  -  99,373,443,462,487,478,550,581,613,669,741,856
Central Region,Pathum Thani Province,100 and over,256,305,337,334,137,177,203,246,304,328,438
Central Region,Pathum Thani Province,Unknown/lunar Calendar,15,6,5,5,-,-,-,1,1,1,1
Central Region,Pathum Thani Province,Population Registered in House Registration and Non  -  Thai nationalities,"1,553","1,677","3,811","3,809","3,530","3,675","3,888","3,985","4,115","4,312",
Central Region,Pathum Thani Province,Population Registered in Central House Registration,"7,302","8,112","7,088","9,423","10,388","11,151","11,797","12,202","10,547","11,123",
Central Region,Pathum Thani Province, Transferring population,"2,757","2,758","2,821","2,938","2,873","3,189","3,244","3,007",592,540,
Central Region,Phra Nakhon Si Ayutthaya Province,Total,"793,509","797,970","803,599","808,360","810,320","813,852","817,441","820,188","819,088","820,512","820,417"
Central Region,Phra Nakhon Si Ayutthaya Province,0 - 4,"46,458","45,577","45,016","44,471","42,705","40,908","39,584","38,048","36,942","35,469","34,172"
Central Region,Phra Nakhon Si Ayutthaya Province,5-Sep,"47,500","47,649","47,389","46,924","46,720","46,333","45,647","45,086","44,280","42,618","41,988"
Central Region,Phra Nakhon Si Ayutthaya Province,Oct-14,"47,036","46,342","46,674","46,918","47,236","47,657","47,762","47,467","46,944","46,958","46,832"
Central Region,Phra Nakhon Si Ayutthaya Province,15  -  19,"55,786","55,460","53,833","51,779","49,572","47,465","46,831","47,205","47,424","47,735","48,281"
Central Region,Phra Nakhon Si Ayutthaya Province,20  -  24,"51,678","52,444","53,153","54,131","54,721","55,247","54,729","53,483","51,716","49,791","47,958"
Central Region,Phra Nakhon Si Ayutthaya Province,25  -  29,"55,404","53,965","53,474","52,948","53,403","54,708","55,551","56,117","57,410","57,945","58,750"
Central Region,Phra Nakhon Si Ayutthaya Province,30  -  34,"65,052","64,208","62,709","61,196","59,753","57,636","56,189","55,459","55,071","55,680","57,027"
Central Region,Phra Nakhon Si Ayutthaya Province,35  -  39,"66,218","66,484","67,237","67,577","67,197","66,164","65,524","64,173","62,924","61,628","59,736"
Central Region,Phra Nakhon Si Ayutthaya Province,40  -  44,"67,766","66,301","65,484","65,264","65,098","65,680","66,143","66,822","67,310","67,145","66,600"
Central Region,Phra Nakhon Si Ayutthaya Province,45  -  49,"66,212","67,203","67,462","66,546","66,503","66,644","65,098","64,258","64,051","64,061","64,744"
Central Region,Phra Nakhon Si Ayutthaya Province,50  -  54,"56,901","58,922","61,074","62,955","64,330","64,516","65,745","65,794","64,829","64,804","64,893"
Central Region,Phra Nakhon Si Ayutthaya Province,55  -  59,"46,190","43,948","45,654","49,447","52,120","54,882","57,147","59,148","60,885","62,069","62,302"
Central Region,Phra Nakhon Si Ayutthaya Province,60  -  64,"34,626","37,292","38,951","39,068","39,727","40,817","42,326","43,897","47,555","50,028","52,723"
Central Region,Phra Nakhon Si Ayutthaya Province,65  -  69,"23,372","25,621","27,445","29,505","31,328","33,422","34,976","36,639","36,741","37,236","38,229"
Central Region,Phra Nakhon Si Ayutthaya Province,70  -  74,"21,149","20,779","20,795","20,950","21,009","21,851","23,009","24,636","26,569","28,109","30,080"
Central Region,Phra Nakhon Si Ayutthaya Province,75  -  79,"16,708","17,588","17,873","17,718","17,775","17,625","17,619","17,534","17,766","17,801","18,518"
